"Pop. Q" "Orig. Data Q" "Model Q" "Weighted Sampler Q" "Hybrid Sampler Q" "Weighted Hybrid Sampler Q" "NZ Sampler Q" "Orig. Data L" "Orig. Data U" "Model L" "Model U" "Weighted Sampler L" "Weighted Sampler U" "Hybrid Sampler L" "Hybrid Sampler U" "Weighted Hybrid Sampler L" "Weighted Hybrid Sampler U" "NZ Sampler L" "NZ Sampler U" "Model M.Frac" "Weighted Sampler M.Frac" "Hybrid Sampler M.Frac" "Weighted Hybrid Sampler M.Frac" "NZ Sampler M.Frac" "Model RE" "Weighted Sampler RE" "Hybrid Sampler RE" "Weighted Hybrid Sampler RE" "NZ Sampler RE"
"White-nonwhite couple" 0.0343953940867373 0.0344 0.05304 0.055228 0.040544 0.045164 0.050624 0.0293482606020932 0.0394517393979068 0.0446241245443414 0.0614558754556586 0.0466342226267098 0.0638217773732902 0.0328368987857267 0.0482511012142733 0.0362442518888622 0.0540837481111378 0.0425076184337519 0.0587403815662481 0.454256348790318 0.456277694711502 0.495837736124767 0.582384925367109 0.438603252876161 0.990996669425667 0.990956968774585 0.990180621644187 0.988486408337084 0.991304214934795
"Only one parent" 0.0200956772349625 0.0198 0.017572 0.0172 0.014132 0.014164 0.013948 0.0159385267284706 0.0236614732715294 0.0134181601944661 0.0217258398055339 0.013141606884684 0.021258393115316 0.0101116497786637 0.0181523502213363 0.0100213575589888 0.0183066424410112 0.0104089667252446 0.0174870332747554 0.231006535955402 0.211220838477975 0.337161915746601 0.374188514251066 0.156191551195402 0.995401116722795 0.995793353856951 0.993301928378264 0.992571820503963 0.996885896907942
"At least one biological child present" 0.43740216490691 0.4444 0.441104 0.437124 0.39566 0.396104 0.451916 0.43062691484791 0.45817308515209 0.426410001700428 0.455797998299572 0.42195466651354 0.452293333486461 0.35811721842876 0.43320278157124 0.35266044151197 0.43954755848803 0.436967942009617 0.466864057990383 0.122671093305592 0.178304878759253 0.868819934312121 0.901973790386468 0.148217747504785 0.997552582681054 0.996446574287632 0.982920383538796 0.982280180448389 0.997044406478191
"One grandchild present" 0.0277934786800957 0.028 0.03054 0.030732 0.0219 0.022448 0.02562 0.023427273389672 0.032572726610328 0.0247079244681347 0.0363720755318653 0.0243861035709242 0.0370778964290758 0.0138188094957766 0.0299811905042234 0.0136834514900184 0.0312125485099816 0.0206412590227951 0.0305987409772049 0.330655161636629 0.430853784102309 0.746777108515724 0.779363117764182 0.22596487031788 0.993430342589924 0.991456543925534 0.985284245600093 0.984651971393246 0.995501034755603
"At least three generations present" 0.0232609791422564 0.024 0.023284 0.02242 0.015512 0.015784 0.018688 0.0197577757858421 0.0282422242141579 0.0184326819616037 0.0281353180383963 0.0173654911700051 0.0274745088299949 0.00970380880297757 0.0213201911970224 0.0092338110575247 0.0223341889424753 0.0142835452186041 0.0230924547813959 0.257235562988215 0.340293998883805 0.650948060482338 0.72056944519906 0.273291677182839 0.994881621320659 0.993240126907257 0.987148353872764 0.985793348673311 0.994563879386739
"Couples with age difference less than 5" 0.487601459230778 0.4784 0.337828 0.33178 0.346676 0.345036 0.31878 0.464553899941528 0.492246100058472 0.322576415209252 0.353079584790748 0.316194689844906 0.347365310155094 0.329086232096317 0.364265767903682 0.327375379649739 0.362696620350261 0.303521527364245 0.334038472635755 0.260756391394531 0.298280394934424 0.436717651433089 0.442451531699681 0.282949538520406 0.994811928627497 0.994069769531038 0.991341275329389 0.99122858786073 0.994372853201389
"HH older than spouse, White HH" 0.321560094852661 0.3224 0.320828 0.329144 0.321064 0.32066 0.30216 0.309444705074748 0.335355294925252 0.305578968237483 0.336077031762517 0.312484085642936 0.345803914357064 0.301841812432208 0.340286187567792 0.296499457782495 0.344820542217505 0.287583140048644 0.316736859951356 0.279632148393517 0.38804990843016 0.545625454165746 0.712032144293348 0.237262287459051 0.994438460735587 0.992298771055134 0.989205288306097 0.985959305628547 0.995277165262282
"White HH with Hispanic origin" 0.066294455534823 0.071 0.068272 0.068796 0.06966 0.069168 0.068584 0.0638813093569932 0.0781186906430068 0.0603933177625716 0.0761506822374284 0.0608740462368434 0.0767179537631566 0.0618937962714179 0.0774262037285821 0.0607918501798262 0.0775441498201738 0.0608786411758015 0.0762893588241985 0.212416876136288 0.215451718557152 0.174286974016771 0.2944877856461 0.173198946179809 0.995769634497772 0.995709453740162 0.99652636869345 0.994144730394687 0.996547978805067
"Only one adult female in house with at least one child less than 5" 0.0776576233902511 0.0778 0.071132 0.07126 0.055716 0.05554 0.06898 0.0703755301786356 0.0852244698213644 0.0630421623062943 0.0792218376937057 0.0630212335320743 0.0794987664679257 0.0454100815683955 0.0660219184316045 0.0431831843733335 0.0678968156266665 0.0610258509374983 0.0769341490625017 0.22405900994556 0.250540041735013 0.618198036384191 0.734824936788828 0.219850919306522 0.995538811192039 0.995014182105766 0.9877870398322 0.985516360060287 0.995622230745771
"Only one adult Hispanic male in house with at least one child less than 10" 0.0179344942100244 0.0212 0.01844 0.01842 0.016108 0.016608 0.01706 0.0172071959290157 0.0251928040709843 0.0141112775477875 0.0227687224522125 0.0141704657684581 0.0226695342315419 0.0118708447548949 0.0203451552451051 0.0122826092197352 0.0209333907802648 0.0129893000070041 0.0211306999929959 0.257488057528168 0.23045858366317 0.321240916683771 0.328747246979844 0.222224408855748 0.994876623017182 0.995411975320127 0.993616196444447 0.99346800258376 0.995575177892428
"Only one adult Black female in house with at least one child less than 18" 0.0270739709776394 0.0326 0.028076 0.027836 0.026496 0.026604 0.029512 0.0276776223473133 0.0375223776526867 0.0227676223496203 0.0333843776503797 0.0224291109481437 0.0332428890518563 0.0204079232541903 0.0325840767458096 0.0203447137755849 0.0328632862244151 0.0244211385191253 0.0346028614808747 0.255635324262041 0.288367552594946 0.464394775447452 0.491172894908124 0.150815348077578 0.994913300317216 0.994265720550715 0.990797575646872 0.990272103681758 0.996992763785976
"HH over 35, no children present" 0.462490507419175 0.4544 0.460252 0.462536 0.494324 0.493936 0.448164 0.440598717962739 0.468201282037261 0.445707169350666 0.474796830649334 0.447724847260052 0.477347152739948 0.462808941561038 0.525839058438962 0.459083228023197 0.528788771976803 0.433668250346221 0.462659749653779 0.0977600950885425 0.129250863370026 0.805543149295053 0.840933287678677 0.0956906831198982 0.998048613452917 0.997421647817513 0.984144581489309 0.983459523000486 0.998089842024034
"Male HH, own" 0.476283509974026 0.4698 0.463208 0.468448 0.464956 0.464644 0.465552 0.455966264849501 0.483633735150499 0.448267236515641 0.478148763484359 0.452932178587011 0.483963821412989 0.450494269263773 0.479417730736227 0.450167476540597 0.479120523459403 0.451049254061249 0.480054745938751 0.144094563969628 0.205088269730399 0.0860831866535639 0.0880282861891391 0.0910880383635399 0.997126390151769 0.995914990356584 0.998281295298481 0.998242528420441 0.998181552009935
"Black HH younger than 40, own" 0.00544884114041306 0.007 0.009232 0.008904 0.009464 0.009252 0.009336 0.00468907030558501 0.00931092969441499 0.00623175136638124 0.0122322486336188 0.00580075458407464 0.0120072454159254 0.00646280388979392 0.0124651961102061 0.00627381048847899 0.012230189511521 0.00643703570115785 0.0122349642988422 0.21902904361109 0.295489281157051 0.200146042596169 0.20575149377137 0.154329930939948 0.995638524922079 0.994124934752991 0.996013038638845 0.995901834199277 0.996922899156415
"White HH younger than 25, own" 0.00307220479237348 0.0036 0.004708 0.004896 0.00494 0.00486 0.004788 0.00193991166209851 0.00526008833790149 0.00252475660560722 0.00689124339439278 0.00257922657873516 0.00721277342126484 0.00277016205870415 0.00710983794129585 0.00272543292473018 0.00699456707526982 0.00267524801744082 0.00690075198255918 0.244377465697257 0.302128004222579 0.197633741311267 0.184292368739276 0.179647207443928 0.995136222637765 0.99399373314391 0.996062887300032 0.996327688206 0.996419918882625
"Hispanic HH older than 50, own" 0.0290316703085371 0.0294 0.027048 0.027192 0.028236 0.028188 0.02866 0.0247177252113497 0.0340822747886503 0.0218844948271476 0.0322115051728524 0.0219192926644164 0.0324647073355836 0.0231288958931903 0.0333431041068097 0.0228913878198199 0.0334846121801801 0.0233307808779751 0.0339892191220249 0.241327331362342 0.268580536873084 0.191541913230313 0.249447423523833 0.246564153423446 0.995196637028105 0.994657089299029 0.996183781052962 0.995035817579816 0.995092915155938
"2 generations present, Black HH" 0.0567001328628826 0.0596 0.057976 0.058076 0.052708 0.052668 0.059144 0.053037904765262 0.066162095234738 0.0508978376233926 0.0650541623766074 0.0510315066229633 0.0651204933770367 0.0444969881449364 0.0609190118550636 0.0435887558332578 0.0617472441667422 0.0522036964366228 0.0660843035633772 0.16232196417308 0.152946041699057 0.430176962267576 0.533877599711492 0.112354758840744 0.99676406597986 0.996950407627662 0.991469850232938 0.989435253634395 0.997757942938793
"3 generations present, White couple" 0.00542357192350609 0.006 0.006324 0.00608 0.004568 0.004672 0.005572 0.00385941781719927 0.00814058218280073 0.00370517159781416 0.00894282840218584 0.00309038001607561 0.00906961998392439 0.00193188128751883 0.00720411871248117 0.00158349845576109 0.00776050154423891 0.00314758985481225 0.00799641014518775 0.295563731159234 0.479568167951544 0.496255703710684 0.624221471257074 0.275312670262774 0.994123463199675 0.990499756924307 0.990172425721573 0.987669509710653 0.994523899392363
"At least 2 generations present, Hispanic couple" 0.0272069668560971 0.0268 0.025628 0.025352 0.02638 0.02628 0.02356 0.0223235726966424 0.0312764273033576 0.0207034579720766 0.0305525420279235 0.0202318807197457 0.0304721192802543 0.0214368463427662 0.0313231536572338 0.0210152852224607 0.0315447147775393 0.0190086068962074 0.0281113931037926 0.208639890240784 0.275433084948547 0.192207385077266 0.290229652411807 0.146656444590962 0.995844542080867 0.994521517408251 0.99617057318076 0.994228905805009 0.997075449192649
"At least one stepchild" 0.0185635647151295 0.0222 0.024276 0.02396 0.018532 0.018804 0.024864 0.0181161987988097 0.0262838012011903 0.0191220795338958 0.0294299204661042 0.0184707100132483 0.0294492899867517 0.01287010159487 0.02419389840513 0.0133486195033358 0.0242593804966642 0.0196075006831097 0.0301204993168903 0.31437206915623 0.402948958772 0.562933307814211 0.522623925180529 0.325273727640318 0.993751843534405 0.992005448746628 0.988866680174838 0.989655645637992 0.993536573106374
"At least one adopted child, White couple" 0.00774169008502427 0.0074 0.006616 0.007076 0.006656 0.006668 0.006912 0.00502443956136177 0.00977556043863823 0.00389092256083267 0.00934107743916734 0.00421470550133716 0.00993729449866284 0.00401421608621932 0.00929778391378068 0.00404241629005778 0.00929358370994222 0.00397852741799631 0.00984547258200369 0.319502790705453 0.340068891707378 0.271734165682956 0.261431837880263 0.386422981738378 0.993650517731974 0.993244568408539 0.994594692819082 0.994798559684421 0.992330811379914
"At least one biological child, Hispanic couple" 0.0253676338570268 0.0242 0.02328 0.022908 0.023552 0.023448 0.021188 0.0199405730076207 0.0284594269923793 0.0186043585596696 0.0279556414403304 0.0179809237091715 0.0278350762908285 0.0188278065577294 0.0282761934422706 0.0184381707793771 0.0284578292206229 0.0168583921927119 0.0255176078072881 0.200670522652849 0.291150490557862 0.208069456117531 0.298575718423392 0.149866625861857 0.996002632622959 0.994210701331787 0.995855856272279 0.994063932941266 0.997011624637411
"At least two biological children, Black couple" 0.00560710623577775 0.005 0.005104 0.004992 0.003192 0.00328 0.003432 0.00304494206566899 0.00695505793433101 0.00290863592665096 0.00729936407334904 0.00277057607178959 0.00721342392821041 0.00084821168401761 0.00553578831598239 0.000980596660600799 0.0055794033393992 0.00151517759286531 0.00534882240713469 0.190314055682269 0.226373840683986 0.553859370882404 0.523869041460466 0.284373037558477 0.996208151726823 0.995492928846465 0.989044172338672 0.989631256445729 0.994344703525565
